input.sentences,output.sentences,persona.age
co-worker and i in the new office,He had a great time on the hike.,25-34
even the carosuel was lit up .,Top end it with a deathly carousel ride.,18-24
the food was amazing .,Look at all of this amazing food.,55-74
this is a picture of a bike .,I took a picture of a bike.,25-34
she danced with her beer .,We danced while we drank some beer.,18-24
at the end of the party | everyone ate cupcakes .,"Everyone had so much to eat at the party, we didn't even have any cupcakes left!",18-24
each racer pushed themselves harder and harder,It was a really intense race.,25-34
some army guys were walking in the parade .,"Men, women, and children have come.",18-24
unfortunately | some of the fireworks only sputtered .,They still haven't caught the murderer.,18-24
they also had a radar system up .,The system radar system looked complext.,18-24
we were so excite for our college graduation .,It is hard work to get through college but it is made easier when you have friends to help you on your journey.,55-74
in small compartments over head there were cages filled with even cuter baby chicks .,My friend tried to fit her head on this picture so I had to cut her out of it.,18-24
but they have other ideas,"The kids were so cute, they gave their mother an idea to take their picture.",35-44
more family kept arriving .,THE BOY IS KLOP,25-34
the adults almost flipped the canoe while paddling .,"When they were paddling, the boat almost flipped but the family.steadied the canoe.",25-34
the sunsets could not have been more beautiful .,The sunset that night was perfect.,18-24
the trip to this fabolous restaurant had me in awe fro the moment that we walked up .,We took a trip and walked to the restaurant.,18-24
everyone filing in for the big school concert .,Everyone is arriving to see the concert,55-74
the propulsion on the shuttle was massive .,IT IS A FLIGHT ORIGIN COMANY,25-34
bride and groom exchanging their wedding vows .,It is now for the bride and groom to say their nuptials,55-74
i deep fried these slices of bread .,One time she took slices of bread and deep fried them.,18-24
my boyfriend and i went to the beach .,the beach was away a reminder of what she had been,18-24
took my daughter to the zoo today for the first time .,Spending some quiet time with my daughter at the zoo.,45-54
he also got a perfect coin bank for his rainy day fund .,This piggy bank is perfect for a rainy day fund.,45-54
then there was a stage for live music at the bar .,The was a small stage for live music,55-74
there were many unknown characters at the party .,"Fresh from its cocoon, the larvae begins to take on human form.",25-34
he was always alone .,"During one of his visits Chad finally told them he was gay and, being the ultra conservative crazies that they were, they asked him to leave.",35-44
our group rents bikes no matter where we vacation .,"Here we are, by a rusted old shack.",55-74
actors came together for an impromptu play .,Two guys read a letter in a play.,18-24
[male] was a real surfer | in the platonic sense . he even had that stupid accent .,The dog was ready to go.,25-34
everyone in our family was there .,The bride and groom were happy that their family joined them.,18-24
all of the men of norm 's family are there waiting for the big moment .,"Norm sits, waiting eagerly for his moment.",25-34
they loved [male] [male] .,Next a painting with Frederick Douglass's face is shown on it,35-44
my brother was there supporting his girlfriend .,The runners were always supported by their families and friends.,18-24
i went to the aquarium yesterday .,Yesterday we went to the aquarium.,25-34
he had a very fun trolley ride .,"After riding the train, he took a trolley ride. It was fun.",25-34
`` hey ! it 's free year membership to the bacon of the month club ! '' said grandpa .,I got him a golf membership.,18-24
jemma decided to take pictures to pass the time as the grownup partied .,My sister smiles during the fights.,25-34
they kissed joyously .,"He kissed her joyously, knowing that she was his beautiful bride.",45-54
there were many horses going by because of the race taking place nearby .,We watched the horses get ready.,25-34
we took lost of pictures to remember the great moments .,Several of the aunts brought photo albums filled with memories.,25-34
then they open the pinata after he hits it .,Still hitting the pinata.,18-24
but in any condition it is never safe to drive after having drinks .,Better to drive home in the morning,35-44
then we had to put them up,IT IS A ROW OF WINDOWS,18-24
and the presentations were a bit dry | though not without some humor .,They had everything planned out.,18-24
there were many beautiful statues there .,We saw statues and they were beautiful!,25-34
what a great view we had of the ocean . right before the sun shined .,"It was too cold to sit outside,evident by the empty chairs",75YearsOrOlder
where he met up with [male] .,He met another male.,25-34
the beers were great in relaxing my friends .,I was at a party with friends,25-34
there was a blizzard and it was rough outside .,How could he make it through this blizzard alone?,25-34
outside of the club is [male] and his date .,He had fun with his date at the club.,18-24
then | you can serve it up to friends and family .,My hubby and guests are thrilled and enjoying every last bite.,55-74
everyone had a great time,IT IS A LIGHT,25-34
other friends at the party acted silly for the camera .,The guy acts silly as him and his friends enjoy the party.,25-34
there were many different art forms including cardboard cutouts that looked magnificent .,With an interesting puzzle type piece.,35-44
they had to breathe in a lot of smoke .,"The smoke kept pouring out, sometimes make it hard to breathe.",55-74
everyone watched the game with anticipation .,Overall it was a great day to sit in the stands with my friends and their families.,25-34
at dark we enjoyed beautiful fire works .,"After the picnic, fireworks were enjoyed by all in the dark night sky.",35-44
we went to a local art show . several artists were there . including the artist who made these beaded tops and hats .,There are lots of great finds at the local carnival,25-34
family and friends gather to celebrate the graduation of the young woman .,Jenna and Katy had been best friends since first grade and were finally graduating from Junior High School.,55-74
why did men always talk about the price of gas she wondered .,We talked and wondered about the price.,18-24
and then they watched the awesome performance .,She sang her best.,35-44
at the end of the day | we all felt a rewarding feeling by knowing that we helped those less fortunate than us .,"Why thank you, he said. For we shall eradicate homelessness by feeding the homeless food made of homeless people the capture and kill the ol skin and bones soup shelter.",35-44
this is the building we stayed in for the entire week .,IT HAS A ROAD,25-34
i came across a few that were actually meant to be funny .,Others were meant to be funny.,55-74
mom and all 5 daughters on a road trip to the beach .,The backseat of the car was crowded as we began our road trip with mom.,55-74
but we also came across historically interesting buildings .,"The center of town had some great historical, brick buildings.",45-54
it 's all smiles as [male] celebrates his award .,We are all smiles as this male celebrates his hard work.,18-24
everyone made valid points .,Another councilman did not want to be at the press conference.,18-24
a man is standing next to his vehicle on the beach .,THE MAN IN  CYCLE,25-34
