input.sentences,output.sentences,persona.age
"['an exciting basketball game starts off with a tip-off .', 'the women look up to see themselves on the jumbo-tron | embarrassed and amused .', 'in contrast | however | the large group of men are beyond themselves when they see their faces .', 'they begin to hoop and holler | content with the game at hand | and at their appearance within it .', 'the whole crowd appears to be getting into the game | with people sporadically getting up to get a better look .']","['The tip of the ball starts the game.', 'A woman calmly smiled at the tron; funny to see herself jumbo sized!', 'The contrast of how other people reacted was clear.', 'They hooped and hollered and wave their hands excitedly.', 'The jumbo tron sporadically captured people enjoying the game.']",25-34
"['took a trip to a place we called old tree when i was a kid .', 'this tree brings back memories .', 'strolling along i can remember a time when we camped and had fun here .', ""now i come back as a grown up and ca n't wait to bring my family here ."", 'watching all the people play makes me want to get married .']","['IT IS A GARDEN', 'IT IS A TREE', 'IT IS A MOUNTAIN', 'IT IS ALSO A MOUNTAIN', 'IT IS A NIGHT TIME']",18-24
"['we headed down to check out the local beach .', 'it was complete deserted with people but there were plenty of birds', 'a lot of the seagulls were just relaxing in the water', 'there were a bunch more by the bridge and in the water .', 'it was just so nice and peaceful to be there with nature .']","[""I'm headed to check on the local bird population."", 'The beach is deserted of people but there are plenty of birds.', 'The sound of seagulls and the waves of the water makes if very relaxing.', 'The is a bunch of seagulls in the water by the bridge.', 'The picture is such a nice peaceful picture of nature.']",55-74
"['today was the day of the race . they started out in the water .', 'the bike race was next .', 'after that was the five mile run .', '[male] pulled ahead at the last minute .', 'here he is at the front of everyone almost halfway through .']","[""The triathlon started with the swimming part and we couldn't really tell which one was Chris."", ""When they got out of the water and climbed onto their bikes, Chris wasn't too far back."", 'In the running part, he was with a couple of other people near the front.', 'Slowly, he started to pull away from the pack.', 'By the halfway mark, he was in the lead!']",55-74
"['today i draw masterpieces ! this is [male] the ghost | my first work .', 'my second work is my self right eye portrait . do you like it ?', 'then i drew a bird coming out of the flames .', 'the bird made me want to draw a man ! so i did . this is [male] the naked top tree climber .', 'he inspired me to draw a colored tree wasting away in the sun . i eventually got tired and fell asleep .']","['At the showing, one of the many masterpieces was from my favorite male artist, and depicted a Ghost.', 'The portrait on an eye really spoke to me.', 'Another was a mound of flames, and the artist drew a phoenix coming from the ash.', ""One that I didn't like was of a tree, and at the top was a naked man."", 'We ended up wasting a lot of time at one of another tree, and got tired so we went home.']",35-44
"['we visited the location location .', 'the buildings were extremely old .', 'they had signs and pictures of people that the government was looking for .', 'on the window of the offices | they had instructions for location aid .', 'after that we took a tour of the government offices .']","['We visited a unique location.', 'The buildings were extremely interesting.', 'We went up to the office window at the location.', 'We read the US AID sign before beginning the tour.', 'The government office building tour was very interesting.']",18-24
"['this was our first vacation together .', '[female] had brunch with a few birds . it was so hilarious .', 'here we are standing in front of some beautiful scenery . we were so in love .', 'finding water this blue is hard .', 'it was a nice sunny day on the beach . the sand was so hot .']","[""We chose a boardwalk where we'd heard there was a great view the first day of our vacation."", 'As this picture shows, we found the perfect spot for brunch.', 'The scenery along the way to find a spot on the beach inspired some cuddling, and a passing ""friend"" volunteered to take this picture.', ""It wasn't hard finding a spot that was lively for sitting and gazing."", 'And here\'s how the day ended, with yet another new ""friend"" to photograph the ending of this sunny day.']",45-54
"[""i found a photo album in my grandma 's attic ."", ""it contained pictures of people i 've never met ."", 'my grandma told me [female] was her mother .', 'it contained pictures and information on my entire family history .', 'it made me appreciate my family more .']","['We had to do a genealogy project for our history class.', 'The photographs are so interesting to study. It really shows the era they were taken during.', 'It looks like she really liked her cat, Mr. Whiskers.', ""We noticed that people didn't always smile big in photos like they do today."", 'It is interesting to see how the similarities in facial features remain generations later.']",25-34
"['the guy had buckets of food', 'and was showing his mom .', 'they were smiling', 'and laughing', 'before going out to tan .']","['In college, Mary knew a guy named Greg who always ate his food from buckets.', 'Even now when she is older, and a mom, she still finds it funny.', ""Her son Jason, and his girlfriend Mandy knew she was telling the story again, and couldn't stop smiling."", ""Later while with friends he started thinking about this after a few drinks, and can't stop laughing."", 'It got even worse when he ran into Greg daughter who was laying out working on her tan.']",35-44
"['my fiancee and i going out to eat for our 1 year anniversary .', 'the first course is fried tofu . this is just to get our stomach going .', ""i order this drink . i ca n't remember what it was called but i know it has egg in it . like an eggnog ."", 'our steak with mushrooms .', 'and for desert we had mochi cookies .']","['Well, what in the world kind of meal is that?!?', ""I don't know what this is either, but at least it looks better than that other thing"", 'Did Rocky join us for dinner?', ""Alright, now THAT's a meal."", 'Gotta love the dessert.']",55-74
"['there was a charity event in my neighborhood which was raising money to help kids get adopted .', 'a lot of people came .', 'there were so many fun events .', 'my little brother even tried the rock climbing challenge !', 'i think it brought the community closer together while supporting an important cause .']","['Its the annual fair today I wonder what it has.', 'I hope the rain goes away today for the fair.', ""I'm going to try this obtacle course later."", 'That climbing wall looks hard.', ""Those soccer balls are huge, I'm going to steal one later.""]",35-44
"['it was time to award the ones that were deserving .', 'they had a nice year and needed to be recognized .', 'they got to say a nice speech if they wanted .', 'all gathered for a great photo .', 'and then the night was over .']","['It was time to receive the awards.', 'It was so nice to be recognized.', 'There was even a speech.', 'Everyone gathered together for a photo.', 'It was a great night for everyone.']",25-34
"['on our hike today we saw many interesting tree formations .', 'i really enjoyed seeing all the different vanes in the rocks .', 'it was really fun taking this silhouette photo .', 'i loved this dead-looking tree and felt it needed to be photographed in black and white .', 'at the end of the day we saw this beautiful tree against the sunset .']","['Today we took a hike in the desert.', ""I was really interested in the rock formations because I'd learned about them in college."", 'Jill was interested in the way that shadows appeared in the landscape.', 'She played around the color/black and white shots to understand shadows better.', 'We stayed until sunset and then headed back to our apartment.']",25-34
"[""grampa 's train setup created a tiny world | with all kinds of details | like little schools ."", 'i could watch the trains rush by for hours .', ""i 'd stand by the tracks and pretend i lived in the little world ."", ""i 'd be right there on the fair ride with the teensy kids ."", 'i wish i could go to that land right now .']","['Look at these miniature trains and neighborhoods!', 'Watch the trains rush by.', 'The little boy enjoys watching the miniature trains', 'There are miniature people living in the tiny train world.', 'The miniature train rounds a bend.']",25-34
